Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-26,70,1.209,"5,79%",BRL,"0,48","33,42","19,05",0,"1,75","27,21%","Contato: 11,00; Outro: 8,05; Engajamento: 24,00; Ver rotas: 2,00; Leads de mensagens: 1,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-21,70,1.401,"5,00%",BRL,"0,84","58,90","10,00",0,"5,89","12,20%","Contato: 6,00; Outro: 4,00; Engajamento: 13,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Visualização de página: 3,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-21,70,1.422,"4,92%",BRL,"0,62","43,31","9,00",0,"4,81","12,86%","Contato: 5,00; Outro: 4,00; Engajamento: 46,00; Ver rotas: 2,00; Visualização de página: 6,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-24,70,1.407,"4,98%",BRL,"0,62","43,45","14,02",0,"3,10","20,03%","Contato: 7,00; Outro: 6,02; Engajamento: 24,00; Ver rotas: 2,00; Leads de mensagens: 1,00; Visualização de página: 2,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-01,70,1.317,"5,32%",BRL,"0,51","35,78","10,00",0,"3,58","14,29%","Contato: 5,00; Outro: 5,00; Engajamento: 8,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-04,70,1.039,"6,74%",BRL,"0,52","36,32","7,99",0,"4,54","11,42%","Contato: 4,00; Outro: 3,99; Engajamento: 48,00; Ver rotas: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-20,68,1.251,"5,44%",BRL,"0,54","37,02","2,00",0,"18,51","2,94%","Contato: 1,00; Outro: 1,00; Engajamento: 44,00; Ver rotas: 1,00; Visualização de página: 4,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-18,68,1.568,"4,34%",BRL,"0,81","55,32","16,00",0,"3,46","23,53%","Contato: 6,00; Outro: 7,00; Engajamento: 50,00; Visualização de página: 8,00; Lead telefônico: 3,00",3,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-11,67,1.069,"6,27%",BRL,"0,43","28,53","7,98",0,"3,58","11,91%","Contato: 5,00; Outro: 2,98; Engajamento: 9,00; Ver rotas: 1,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-02,67,1.711,"3,92%",BRL,"0,45","30,32","18,00",0,"1,68","26,87%","Contato: 13,00; Outro: 5,00; Engajamento: 32,00; Ver rotas: 1,00; Visualização de página: 1,00; Visita à loja: 2,00",6,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-29,64,921,"6,95%",BRL,"0,48","30,61","15,02",0,"2,04","23,46%","Contato: 7,00; Outro: 8,02; Engajamento: 31,00; Visualização de página: 1,00; Visita à loja: 1,00",2,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-02,64,1.296,"4,94%",BRL,"0,46","29,67","10,00",0,"2,97","15,63%","Contato: 5,00; Outro: 4,00; Engajamento: 11,00; Ver rotas: 3,00; Visualização de página: 4,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-24,64,1.395,"4,59%",BRL,"0,50","32,31","7,00",0,"4,62","10,94%","Contato: 4,00; Outro: 3,00; Engajamento: 32,00; Ver rotas: 3,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-08,64,1.058,"6,05%",BRL,"0,48","30,58","12,97",0,"2,36","19,96%","Contato: 6,00; Outro: 6,97",0,0,0,"0,00",0, --,0,0
