Performance da campanha
1 de janeiro de 2026 - 25 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-04,13,217,"5,99%","0,58","7,51","0,00",0,0,"0,00%",0,"Engajamento: 40,00; Ver rotas: 1,00; Visualização de página: 4,00","45,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-11,13,589,"2,21%","1,14","14,76","0,00",0,0,"0,00%",0,"Contato: 1,00; Outro: 5,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-14,13,172,"7,56%","0,88","11,41","0,00",0,0,"0,00%",0,"Engajamento: 5,00","5,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-31,13,133,"9,77%","0,34","4,37","0,00",0,0,"0,00%",0,"Contato: 1,00; Engajamento: 44,00; Ver rotas: 1,00; Visualização de página: 3,00","49,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-20,13,252,"5,16%","0,39","5,05","0,00",0,0,"0,00%",0,"Engajamento: 18,00; Ver rotas: 2,00; Visualização de página: 3,00; Visita à loja: 1,00","24,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-27,13,259,"5,02%","0,63","8,18","2,00",0,"4,09","15,38%",0,"Contato: 2,00; Engajamento: 72,00; Ver rotas: 4,00; Visualização de página: 2,00","80,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-05,12,147,"8,16%","1,39","16,68","8,00",0,"2,08","66,67%",1,"Contato: 2,00; Engajamento: 62,00; Ver rotas: 6,00; Visita à loja: 1,00","71,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-07,12,150,"8,00%","1,68","20,21","2,00",0,"10,11","16,67%",3,"Contato: 1,00; Engajamento: 48,00; Ver rotas: 1,00","50,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-12,12,132,"9,09%","1,35","16,20","0,00",0,0,"0,00%",0,"Engajamento: 41,00; Ver rotas: 9,00","50,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-22,12,319,"3,76%","0,62","7,46","0,00",0,0,"0,00%",0,"Engajamento: 4,00; Visualização de página: 2,00; Visita à loja: 1,00","7,00","0,00"
