Performance da campanha
1 de janeiro de 2026 - 25 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-02-16,107,2.026,"5,28%","0,34","36,65","20,00",0,"1,83","18,69%",1,"Contato: 11,00; Outro: 9,00; Engajamento: 74,00; Ver rotas: 4,00; Visualização de página: 2,00","125,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-03,102,1.317,"7,74%","0,26","26,04","33,00",0,"0,79","32,35%",1,"Contato: 9,00; Outro: 24,00; Engajamento: 9,00; Ver rotas: 13,00","55,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-06,102,1.349,"7,56%","0,23","23,42","33,13",0,"0,71","32,48%",0,"Contato: 10,00; Outro: 17,13; Engajamento: 51,00; Ver rotas: 15,00; Visualização de página: 3,00","96,13","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-15,102,1.311,"7,78%","0,30","30,90","20,00",0,"1,54","19,61%",4,"Contato: 9,00; Outro: 9,00; Engajamento: 14,00; Ver rotas: 2,00; Visualização de página: 2,00; Lead telefônico: 2,00","61,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-30,99,1.609,"6,15%","0,24","23,42","25,00",0,"0,94","25,25%",0,"Contato: 14,00; Outro: 11,00; Visualização de página: 1,00","32,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-02-09,98,1.739,"5,64%","0,50","48,80","15,00",0,"3,25","15,31%",2,"Contato: 9,00; Outro: 6,00; Engajamento: 62,00; Ver rotas: 4,00; Visualização de página: 3,00","88,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-27,94,1.176,"7,99%","0,31","29,42","22,00",0,"1,34","23,40%",0,"Contato: 9,00; Outro: 13,00; Engajamento: 24,00; Visualização de página: 2,00","61,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-02-05,94,1.795,"5,24%","0,42","39,02","22,96",0,"1,70","24,43%",0,"Contato: 10,99; Outro: 11,98; Engajamento: 16,00; Ver rotas: 1,00; Visualização de página: 1,00","52,96","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-14,92,1.245,"7,39%","0,38","34,87","12,00",0,"2,91","13,04%",2,"Contato: 6,00; Outro: 5,00; Engajamento: 39,00; Visualização de página: 9,00; Lead telefônico: 1,00; Visita à loja: 1,00","76,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-08,91,1.123,"8,10%","0,30","27,24","45,37",0,"0,60","49,86%",0,"Contato: 5,00; Outro: 37,38; Engajamento: 24,00; Ver rotas: 13,50; Visualização de página: 3,00","82,88","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-09,91,1.488,"6,12%","0,26","23,67","23,50",0,"1,01","25,82%",0,"Contato: 7,00; Outro: 13,50; Engajamento: 28,00; Ver rotas: 8,50; Visualização de página: 1,00","58,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-07,87,1.042,"8,35%","0,26","22,46","29,00",0,"0,77","33,33%",0,"Contato: 8,00; Outro: 19,00; Engajamento: 32,00; Ver rotas: 12,00; Visualização de página: 3,00","74,00","2,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-17,87,1.820,"4,78%","0,46","40,02","20,00",0,"2,00","22,99%",2,"Contato: 11,00; Outro: 9,00; Engajamento: 3,00","33,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-03-06,84,1.281,"6,56%","0,37","31,38","2,00",0,"15,69","2,38%",1,"Contato: 1,00; Engajamento: 11,00; Lead telefônico: 1,00; Visita à loja: 1,00","18,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-02-19,81,1.867,"4,34%","0,40","32,33","6,00",0,"5,39","7,41%",2,"Contato: 3,00; Outro: 2,00; Engajamento: 60,00; Visualização de página: 2,00; Lead telefônico: 1,00","76,02","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-13,79,925,"8,54%","0,28","22,28","26,00",0,"0,86","32,91%",3,"Contato: 13,00; Outro: 12,00; Engajamento: 7,00; Ver rotas: 1,00","48,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-03-05,79,1.557,"5,07%","0,40","31,84","5,00",0,"6,37","6,33%",0,"Contato: 3,00; Outro: 2,00; Engajamento: 16,00; Ver rotas: 1,00; Visualização de página: 2,00","37,03","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-03-04,78,1.329,"5,87%","0,42","33,04","12,03",0,"2,75","15,42%",0,"Contato: 7,00; Outro: 5,03; Engajamento: 34,00; Ver rotas: 7,00; Visualização de página: 1,00","64,03","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-01-21,77,1.033,"7,45%","0,30","23,12","0,00",0,0,"0,00%",0,"Engajamento: 1,00; Ver rotas: 1,00","15,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-20,76,1.677,"4,53%","0,72","54,55","18,97",0,"2,88","24,96%",1,"Contato: 12,00; Outro: 6,97; Engajamento: 67,00; Ver rotas: 3,00; Visualização de página: 3,00","98,97","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-06-11,75,1.424,"5,27%","0,56","42,02","10,00",0,"4,20","13,16%",4,"Contato: 6,00; Outro: 4,00; Engajamento: 46,00; Visualização de página: 2,00","65,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-02-23,73,1.194,"6,11%","0,53","38,89","11,98",0,"3,25","16,41%",0,"Contato: 6,00; Outro: 5,98; Engajamento: 65,00; Visualização de página: 2,00; Visita à loja: 3,00","85,97","0,00"
